
BenchmarkDotNet=v0.12.1, OS=Windows 10.0.19041.572 (2004/?/20H1)
AMD Ryzen 7 2700X, 1 CPU, 16 logical and 8 physical cores
.NET Core SDK=5.0.100-rc.1.20452.10
  [Host]     : .NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
  DefaultJob : .NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
100000
|              Method |          Mode |       Mean |    Error |   StdDev |    Gen 0 |    Gen 1 |    Gen 2 | Allocated |
|-------------------- |-------------- |-----------:|---------:|---------:|---------:|---------:|---------:|----------:|
|          Mysolution | 1.HalfNoPeaks | 1,391.6 us | 10.25 us |  9.08 us |  60.5469 |  60.5469 |  60.5469 |  202681 B |
|      OnlineSolution | 1.HalfNoPeaks | 3,058.1 us |  2.70 us |  2.53 us |  39.0625 |  39.0625 |  39.0625 |  262501 B |
| MyErroneousSolution | 1.HalfNoPeaks |   360.2 us |  1.86 us |  1.64 us |  62.0117 |  62.0117 |  62.0117 |  202687 B |
|          Mysolution | 2.HalfNoPeaks |   337.9 us |  1.11 us |  1.04 us |  62.0117 |  62.0117 |  62.0117 |  202680 B |
|      OnlineSolution | 2.HalfNoPeaks |   715.4 us |  2.43 us |  2.27 us |  41.0156 |  41.0156 |  41.0156 |  262497 B |
| MyErroneousSolution | 2.HalfNoPeaks |   345.0 us |  3.84 us |  3.40 us |  62.0117 |  62.0117 |  62.0117 |  202684 B |
|          Mysolution |        NoPeak |   144.1 us |  0.61 us |  0.57 us |  62.2559 |  62.2559 |  62.2559 |  200024 B |
|      OnlineSolution |        NoPeak |   460.6 us |  0.18 us |  0.16 us |        - |        - |        - |      32 B |
| MyErroneousSolution |        NoPeak |   144.6 us |  1.17 us |  1.04 us |  62.2559 |  62.2559 |  62.2559 |  200024 B |
|          Mysolution |       OnePeak |   147.5 us |  1.36 us |  1.27 us |  62.2559 |  62.2559 |  62.2559 |  202680 B |
|      OnlineSolution |       OnePeak |   460.6 us |  0.24 us |  0.19 us |        - |        - |        - |      72 B |
| MyErroneousSolution |       OnePeak |   146.8 us |  0.62 us |  0.52 us |  62.2559 |  62.2559 |  62.2559 |  202680 B |
|          Mysolution |        Random | 1,214.3 us |  6.67 us |  5.91 us |  60.5469 |  60.5469 |  60.5469 |  202683 B |
|      OnlineSolution |        Random |   772.0 us | 11.21 us | 10.48 us | 124.0234 | 124.0234 | 124.0234 |  524665 B |
| MyErroneousSolution |        Random | 1,890.2 us | 24.03 us | 20.07 us |  60.5469 |  60.5469 |  60.5469 |  202683 B |


10000000
|              Method |          Mode |      Mean |    Error |   StdDev |    Gen 0 |    Gen 1 |    Gen 2 |  Allocated |
|-------------------- |-------------- |----------:|---------:|---------:|---------:|---------:|---------:|-----------:|
|          Mysolution | 1.HalfNoPeaks | 130.88 ms | 2.601 ms | 5.429 ms |        - |        - |        - | 20025448 B |
|      OnlineSolution | 1.HalfNoPeaks | 544.76 ms | 4.445 ms | 3.941 ms |        - |        - |        - | 16778272 B |
